file_path,classification,duration_sec,num_transients,bpm
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Drum Loops/212 AT Hypnosis Drum - Tape 137 Hat.wav,Loop,7.01,56,68.91
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Drum Loops/117 AT Hypnosis Drum - Fusion 137 Kick.wav,Loop,7.01,15,136.0
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Drum Loops/067 AT Hypnosis Drum - Vortex 137 Full.wav,Loop,7.01,66,136.0
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Drum Loops/004 AT Hypnosis Drum - Tube 137 No Kick.wav,Loop,7.01,36,136.0
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Drum Loops/162 AT Hypnosis Drum - Voltage 137 Strp.wav,Loop,7.01,63,109.96
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Drum Loops/034 AT Hypnosis Drum - Turbulence 137 No Kick.wav,Loop,7.01,48,68.91
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Drum Loops/132 AT Hypnosis Drum - Future 137 Strp.wav,Loop,7.01,35,136.0
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Drum Loops/214 AT Hypnosis Drum - Tape 137 No Kick.wav,Loop,7.01,48,136.0
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Drum Loops/071 AT Hypnosis Drum - Vortex 137 Perc.wav,Loop,7.01,86,136.0
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Drum Loops/083 AT Hypnosis Drum - Render 137 Perc.wav,Loop,7.01,62,136.0
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Drum Loops/116 AT Hypnosis Drum - Fusion 137 Hat.wav,Loop,7.01,63,136.0
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Drum Loops/197 AT Hypnosis Drum - Bark 137 Perc.wav,Loop,7.01,66,90.67
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Drum Loops/022 AT Hypnosis Drum - Void 137 No Kick.wav,Loop,7.01,43,136.0
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Drum Loops/052 AT Hypnosis Drum - Emphasis 137 No Kick.wav,Loop,7.01,63,136.0
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Drum Loops/074 AT Hypnosis Drum - Alert 137 Hat.wav,Loop,7.01,17,136.0
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Drum Loops/032 AT Hypnosis Drum - Turbulence 137 Hat.wav,Loop,7.01,48,136.0
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Drum Loops/056 AT Hypnosis Drum - Optic 137 Hat.wav,Loop,7.01,76,136.0
